ItemID,ItemNumber,ItemName,Variation1Group,Variation1Description,Variation1Surcharge,Variation1SurchargeType,Variation1ItemNumberExtension,Variation2Group,Variation2Description,Variation2Surcharge,Variation2SurchargeType,Variation2ItemNumberExtension,Variation3Group,Variation3Description,Variation3Surcharge,Variation3SurchargeType,Variation3ItemNumberExtension
555,STB-1229,STB-1229,,,,,,,,,,,,,,,
556,STB-1123,STB-1123,,,,,,,,,,,,,,,
557,STB-2090,STB-2090,,,,,,,,,,,,,,,
558,STB-2578,STB-2578,,,,,,,,,,,,,,,
559,STB-1646,STB-1646,,,,,,,,,,,,,,,
560,STB-1317,STB-1317,,,,,,,,,,,,,,,
561,STB-915,STB-915,,,,,,,,,,,,,,,
562,STB-1474,STB-1474,,,,,,,,,,,,,,,
563,STB-2169,STB-2169,,,,,,,,,,,,,,,
564,STB-1811,STB-1811,,,,,,,,,,,,,,,
565,STB-164,STB-164,,,,,,,,,,,,,,,
566,STB-106,STB-106,,,,,,,,,,,,,,,
567,STB-202,STB-202,,,,,,,,,,,,,,,
568,STB-1344,STB-1344,,,,,,,,,,,,,,,
569,STB-1174,STB-1174,,,,,,,,,,,,,,,
570,STB-1211,STB-1211,,,,,,,,,,,,,,,
571,STB-1361,STB-1361,,,,,,,,,,,,,,,
572,STB-684,STB-684,,,,,,,,,,,,,,,
573,STB-90,STB-90,,,,,,,,,,,,,,,
574,STB-1634,STB-1634,,,,,,,,,,,,,,,
575,STB-1029,STB-1029,,,,,,,,,,,,,,,
576,STB-243,STB-243,,,,,,,,,,,,,,,
577,STB-494,STB-494,,,,,,,,,,,,,,,
578,STB-211,STB-211,,,,,,,,,,,,,,,
579,STB-478,STB-478,,,,,,,,,,,,,,,
580,STB-2570,STB-2570,,,,,,,,,,,,,,,
581,STB-2798,STB-2798,,,,,,,,,,,,,,,
582,STB-2628,STB-2628,,,,,,,,,,,,,,,
583,STB-2326,STB-2326,,,,,,,,,,,,,,,
584,STB-708,STB-708,,,,,,,,,,,,,,,
585,STB-1962,STB-1962,,,,,,,,,,,,,,,
586,STB-1822,STB-1822,,,,,,,,,,,,,,,
587,STB-242,STB-242,,,,,,,,,,,,,,,
588,STB-1441,STB-1441,,,,,,,,,,,,,,,
589,STB-146,STB-146,,,,,,,,,,,,,,,
590,STB-190,STB-190,,,,,,,,,,,,,,,
591,STB-419,STB-419,,,,,,,,,,,,,,,
592,STB-2243,STB-2243,,,,,,,,,,,,,,,
593,STB-235,STB-235,,,,,,,,,,,,,,,
594,STB-306,STB-306,,,,,,,,,,,,,,,
595,STB-332,STB-332,,,,,,,,,,,,,,,
596,STB-538,STB-538,,,,,,,,,,,,,,,
597,STB-548,STB-548,,,,,,,,,,,,,,,
598,STB-1651,STB-1651,,,,,,,,,,,,,,,
599,STB-1523,STB-1523,,,,,,,,,,,,,,,
600,STB-1429,STB-1429,,,,,,,,,,,,,,,
601,STB-2739,STB-2739,,,,,,,,,,,,,,,
602,STB-314,STB-314,,,,,,,,,,,,,,,
603,STB-1625,STB-1625,,,,,,,,,,,,,,,
604,STB-2280,STB-2280,,,,,,,,,,,,,,,
605,STB-2333,STB-2333,,,,,,,,,,,,,,,
606,STB-262,STB-262,,,,,,,,,,,,,,,
607,STB-1657,STB-1657,,,,,,,,,,,,,,,
608,STB-196,STB-196,,,,,,,,,,,,,,,
609,STB-2258,STB-2258,,,,,,,,,,,,,,,
610,STB-952,STB-952,,,,,,,,,,,,,,,
611,STB-1572,STB-1572,,,,,,,,,,,,,,,
612,STB-414,STB-414,,,,,,,,,,,,,,,
613,STB-1454,STB-1454,,,,,,,,,,,,,,,
614,STB-259,STB-259,,,,,,,,,,,,,,,
615,STB-97,STB-97,,,,,,,,,,,,,,,
616,STB-1913,STB-1913,,,,,,,,,,,,,,,
617,STB-2078,STB-2078,,,,,,,,,,,,,,,
618,STB-1507,STB-1507,,,,,,,,,,,,,,,
619,STB-320,STB-320,,,,,,,,,,,,,,,
620,STB-1135,STB-1135,,,,,,,,,,,,,,,
621,STB-270,STB-270,,,,,,,,,,,,,,,
622,STB-1379,STB-1379,,,,,,,,,,,,,,,
623,STB-239,STB-239,,,,,,,,,,,,,,,
624,STB-813,STB-813,,,,,,,,,,,,,,,
625,STB-1477,STB-1477,,,,,,,,,,,,,,,
626,STB-335,STB-335,,,,,,,,,,,,,,,
627,STB-2840,STB-2840,,,,,,,,,,,,,,,
628,STB-631,STB-631,,,,,,,,,,,,,,,
629,STB-531,STB-531,,,,,,,,,,,,,,,
630,STB-2729,STB-2729,,,,,,,,,,,,,,,
631,STB-1840,STB-1840,,,,,,,,,,,,,,,
632,STB-842,STB-842,,,,,,,,,,,,,,,
633,STB-2658,STB-2658,,,,,,,,,,,,,,,
634,STB-2097,STB-2097,,,,,,,,,,,,,,,
